Gene	Transcripts
ST8SIA4	NM_005668.6
MAPKAP1	NM_001006617.3
CARS1	NM_001751.6
ZIC5	NM_033132.4
ZFP57	NM_001109809.4
ZFP28	NM_020828.2
CDKN1C	NM_000076.2
ZNF611	NM_030972.3
RBBP7	NM_002893.4
FZD2	NM_001466.4
TSPYL4	NM_021648.5
CALML3	NM_005185.4
KIAA1217	NM_019590.5
BLMH	NM_000386.4
LARP7	NM_016648.4
OR52B2	NM_001004052.1
MXD3	NM_001142935.2
ZNF362	NM_152493.3
PTP4A1	NM_003463.4
ATP5MC3	NM_001689.5
HOXD3	NM_006898.5
SERHL2	NM_014509.5
C19orf12	NM_031448.5
MAGEB10	NM_182506.3
LTK	NM_001135685.2
NLRC4	NM_021209.4
RGS21	NM_001039152.3
ACSM4	NM_001080454.1
OR52M1	NM_001004137.1
MED30	NM_080651.4
APOBEC3F	NM_145298.6
BCL2	NM_000633.2
GPR156	NM_153002.2
DKK2	NM_014421.3
SRFBP1	NM_152546.3
GFAP	NM_002055.5
GOSR1	NM_001007024.2
IL3	NM_000588.4
PCP2	NM_001271830.2
KIAA1522	NM_001198972.2
METTL8	NM_024770.4
LNPEP	NM_005575.3
ULK1	NM_003565.4
NOL11	NM_015462.5
ART1	NM_004314.3
PRAME	NM_206953.2
CAPG	NM_001747.4
HOXB7	NM_004502.4
S100A8	NM_002964.5
TRIP11	NM_001321851.1
DDX60	NM_017631.6
FAT1	NM_005245.4
CAVIN4	NM_001018116.2
MFAP2	NM_002403.4
KNOP1	NM_001012991.3
CDK5RAP2	NM_018249.6
SLC35F2	NM_017515.5
DAZ2	NM_020363.3
NFATC2	NM_012340.5
ANGPT1	NM_001146.5
CTRB1	NM_001906.6
VXN	NM_152765.4
TBX18	NM_001080508.3
LAMP2	NM_001122606.1
CRP	NM_000567.3
ADAM7	NM_003817.4
GAD2	NM_000818.2
EXOSC5	NM_020158.4
GRAMD1B	NM_001286563.2
CSRNP3	NM_024969.3
PRKCG	NM_002739.5
CEP250	NM_007186.6
SHANK2	NM_012309.4
NMUR2	NM_020167.4
CTAGE4	NM_198495.2
IL7R	NM_002185.5
HEATR9	NM_152781.4
DNAJB12	NM_001002762.4
CCDC173	NM_001085447.2
ATP1B1	NM_001677.4
AGPAT4	NM_020133.3
TAMM41	NM_138807.4
CLPSL1	NM_001010886.5
DYNLL2	NM_080677.3
ALDH3A1	NM_000691.5
KRTAP5-7	NM_001012503.2
PHLDA2	NM_003311.4
IKZF2	NM_016260.3
ZNF45	NM_003425.4
ARFGAP1	NM_018209.4
KCNH4	NM_012285.3
SULT1C4	NM_006588.4
SBNO1	NM_018183.5
ASAH2B	NM_001079516.4
TMC7	NM_024847.4
ZNF749	NM_001023561.4
RIOK1	NM_031480.3
MARS1	NM_004990.4
STARD3	NM_001165937.1
HIF1A	NM_001530.4
POLB	NM_002690.3
KDM7A	NM_030647.2
ACAA1	NM_001607.4
CA5A	NM_001739.2
ITGB3BP	NM_014288.4
TSC22D4	NM_030935.5
PPP1R27	NM_001007533.4
CXorf49B	NM_001145139.1
ATP5MGL	NM_001165877.1
TMEM132B	NM_052907.3
GAGE10	NM_001098413.3
ZNF346	NM_012279.4
ATP6V0B	NM_004047.5
DCP1A	NM_018403.7
SEMA3B	NM_001005914.2
CLDN2	NM_001171092.1
PDZRN4	NM_013377.4
ZNF609	NM_015042.2
C5orf34	NM_198566.4
FAM241A	NM_152400.3
FGF6	NM_020996.2
ADGRL3	NM_001322246.2
CASTOR2	NM_001145064.3
ANKRD13A	NM_033121.2
LRRC30	NM_001105581.2
HEY1	NM_012258.4
MED1	NM_004774.4
NEK6	NM_014397.5
PTMA	NM_001099285.1
IFT22	NM_022777.4
ZNF316	NM_001278559.2
MCOLN3	NM_018298.11
PPP6R2	NM_014678.5
SULT1A2	NM_001054.4
GLYR1	NM_032569.4
DDX60L	NM_001012967.2
SLCO3A1	NM_013272.4
NUP62CL	NM_017681.3
ADIPOR2	NM_024551.3
JAK3	NM_000215.3
RUNDC3A	NM_006695.4
CYP2C8	NM_000770.3
TCAIM	NM_173826.4
NDUFA5	NM_005000.5
LHFPL3	NM_199000.2
NAA50	NM_025146.4
SP5	NM_001003845.3
GPR34	NM_005300.4
PPM1M	NM_144641.4
ZNF333	NM_032433.4
CCDC43	NM_144609.3
RBMY1J	NM_001006117.3
PCTP	NM_021213.4
IGF1R	NM_000875.5
TBC1D2	NM_018421.4
RAP1B	NM_001010942.3
PAAF1	NM_025155.3
RHBDL3	NM_138328.3
IL17F	NM_052872.4
GPR25	NM_005298.4
SUOX	NM_000456.3
PNMA6A	NM_032882.5
DSCAM	NM_001389.5
E4F1	NM_004424.5
CYP3A7-CYP3A51P	NM_001256497.3
LILRA4	NM_012276.5
MATN4	NM_003833.4
BRINP1	NM_014618.3
STIP1	NM_006819.3
TUBB3	NM_006086.4
KRT35	NM_002280.4
RAB25	NM_020387.4
RAPGEF3	NM_006105.5
OR13C5	NM_001004482.1
TRAF2	NM_021138.4
CFTR	NM_000492.4
RASD2	NM_014310.4
MMP11	NM_005940.5
APOL4	NM_145660.2
CNNM1	NM_020348.3
TAF10	NM_006284.4
HCFC1R1	NM_017885.4
ING1	NM_005537.5
FTCD	NM_006657.3
LYST	NM_000081.4
ELAC2	NM_001165962.1
RHOA	NM_001664.4
TNFSF13B	NM_006573.4
BPGM	NM_001724.5
ACTN4	NM_001322033.2
DGCR2	NM_005137.3
H2AC12	NM_080596.2
ZNF385B	NM_152520.6
KRAS	NM_033360.4
TAF1D	NM_024116.4
CCDC71	NM_022903.4
ZNF444	NM_018337.4
PDZD7	NM_024895.4
SLC4A10	NM_022058.4
TJP1	NM_003257.5
ECRG4	NM_032411.3
PIGS	NM_033198.4
CDC73	NM_024529.4
ZFHX4	NM_024721.5
SYCN	NM_001080468.4
CCNJL	NM_024565.7
NNMT	NM_006169.3
PCDHA6	NM_018909.4
SLC35A2	NM_005660.3
OTUB2	NM_023112.4
CCDC189	NM_001014979.3
VSTM4	NM_144984.4
OR4K1	NM_001004063.2
VGLL3	NM_016206.4
TECRL	NM_001010874.5
C5	NM_001735.3
PLA2G15	NM_012320.4
DDX11	NM_030653.4
PRDM16	NM_022114.4
SLC48A1	NM_017842.3
C19orf33	NM_033520.3
RPL11	NM_000975.5
CNOT4	NM_013316.4
ARHGAP12	NM_001270695.1
SIL1	NM_022464.5
LSAMP	NM_002338.5
PTGS1	NM_000962.4
TOR1AIP2	NM_145034.5
SNRNP200	NM_014014.5
BRWD3	NM_153252.5
KCNG3	NM_172344.3
CEMIP2	NM_013390.3
CDC123	NM_006023.3
KIF20B	NM_016195.3
MAN2A1	NM_002372.3
SLC27A1	NM_198580.3
TPST2	NM_003595.5
NR6A1	NM_001278546.2
EFEMP1	NM_001039348.3
ABHD16A	NM_001177515.2
KIF13A	NM_001105566.3
BCL9L	NM_182557.3
MTMR9	NM_015458.4
AADAT	NM_016228.4
IDO1	NM_002164.6
INTS10	NM_018142.4
IGF2R	NM_000876.3
DIO2	NM_000793.6
TMEM132D	NM_133448.3
MEOX1	NM_001040002.2
TSR3	NM_001001410.3
OR3A1	NM_002550.2
GPR26	NM_153442.4
SEC22B	NM_004892.6
WWP2	NM_007014.5
SPEM2	NM_175734.5
HCST	NM_014266.4
RAMP3	NM_005856.3
METTL14	NM_020961.4
BAIAP2L2	NM_025045.6
TULP2	NM_003323.3
GYPE	NM_002102.4
APOL6	NM_030641.4
KRTAP19-8	NM_001099219.1
SFPQ	NM_005066.3
SYNGR3	NM_004209.6
ANKRD17	NM_032217.5
SCN9A	NM_002977.3
CKS2	NM_001827.3
TEAD1	NM_021961.6
RAC3	NM_001316307.2
CUEDC2	NM_024040.3
NOP2	NM_006170.4
CD8B2	NM_001349727.2
SP2	NM_003110.6
ALDH6A1	NM_001278593.2
ATXN1	NM_000332.3
DEPTOR	NM_022783.4
KCNV1	NM_014379.4
TRIM37	NM_015294.6
C1QTNF12	NM_001014980.3
KISS1	NM_002256.4
SH2B1	NM_015503.2
PLPP2	NM_003712.4
AUNIP	NM_024037.3
SRP14	NM_003134.6
BHLHE41	NM_030762.3
MBOAT7	NM_024298.5
POU5F1B	NM_001159542.2
KDM4E	NM_001161630.1
TAP2	NM_018833.2
CARD11	NM_032415.6
SLC32A1	NM_080552.3
SRXN1	NM_080725.3
IFITM1	NM_003641.4
HOXD10	NM_002148.3
APEX1	NM_001641.4
ABI2	NM_005759.6
DNAAF4	NM_130810.4
FAM241B	NM_145306.3
GAGE12H	NM_001098410.1
CHMP3	NM_016079.4
ZNF581	NM_016535.4
ACER1	NM_133492.3
PTPRCAP	NM_005608.3
CNIH3	NM_152495.2
ASB2	NM_001202429.2
FAM98B	NM_173611.4
SPATA17	NM_138796.4
MRPL22	NM_001014990.2
TOR4A	NM_017723.3
ILDR2	NM_199351.3
RNF25	NM_022453.3
NR2F2	NM_001145155.2
CTNNBL1	NM_030877.5
STBD1	NM_003943.4
KDM2B	NM_032590.5
SIPA1L3	NM_015073.3
SUSD2	NM_019601.4
NMUR1	NM_006056.5
CCNE1	NM_001238.4
GPR183	NM_004951.5
OSBPL8	NM_020841.5
MAGEE1	NM_020932.3
MXRA8	NM_032348.4
OR2T8	NM_001005522.1
GTF3C3	NM_001206774.2
C8B	NM_000066.4
CEACAM18	NM_001278392.1
FGFRL1	NM_021923.3
GPC2	NM_152742.3
FRAS1	NM_001166133.1
C2CD6	NM_152525.6
BLCAP	NM_006698.4
TUBAL3	NM_024803.3
FAM209B	NM_001013646.4
CLEC1A	NM_016511.4
NFYC	NM_014223.5
EPOR	NM_000121.4
SMIM6	NM_001162997.2
OR8D2	NM_001002918.1
ARIH2	NM_006321.4
ZBED1	NM_004729.4
GBP7	NM_207398.3
LBX1	NM_006562.4
SCN1A	NM_006920.6
TMEM207	NM_207316.2
MED4	NM_014166.4
NDUFB11	NM_019056.6
GLDN	NM_181789.4
EHMT1	NM_024757.5
TMEM101	NM_032376.4
IFITM3	NM_021034.3
GPS1	NM_212492.3
OR52D1	NM_001005163.2
HSDL2	NM_032303.5
NHSL1	NM_020464.2
DEFB106A	NM_152251.4
CATSPERZ	NM_001039496.2
CLMN	NM_024734.4
UXT	NM_153477.3
TESPA1	NM_001098815.3
TEX13C	NM_001195272.2
RBM4B	NM_031492.4
COX7C	NM_001867.3
FERMT1	NM_017671.4
FAM9C	NM_174901.6
PRRX1	NM_006902.5
UNG	NM_080911.3
TMEM165	NM_018475.5
LAMA5	NM_005560.6
S1PR2	NM_004230.4
URGCP	NM_001077664.2
NIPAL2	NM_024759.3
BET1L	NM_016526.4
NUTM2G	NM_001170741.2
KRTAP20-1	NM_181615.2
ZNF93	NM_031218.4
PTPN21	NM_007039.4
PPP1R9B	NM_032595.5
LRRC34	NM_153353.5
METTL17	NM_022734.3
S100A6	NM_014624.4
CENPF	NM_016343.4
RPL37	NM_000997.5
PRPH2	NM_000322.5
GMPS	NM_003875.3
FRMD5	NM_032892.5
SOCS7	NM_014598.4
BBS4	NM_033028.5
BOD1L2	NM_001257964.2
MTRNR2L2	NM_001190470.2
GALNT18	NM_198516.3
ZNF280B	NM_080764.4
NKAIN4	NM_152864.4
MAPRE3	NM_012326.4
SLC4A7	NM_003615.5
PRAMEF20	NM_001099852.2
SLX4IP	NM_001009608.3
E2F4	NM_001950.4
ZFP64	NM_018197.3
LZTS2	NM_032429.4
NXPE4	NM_017678.3
KYAT1	NM_001122671.1
SECISBP2L	NM_014701.4
DOCK1	NM_001380.4
IGSF23	NM_001205280.2
SAMSN1	NM_001256370.1
MYCBPAP	NM_032133.6
MBOAT4	NM_001100916.2
CHADL	NM_138481.2
KLF13	NM_015995.4
ARHGEF11	NM_198236.3
NLRP13	NM_176810.2
UBE2U	NM_152489.3
GTF2E2	NM_002095.6
LBR	NM_002296.4
STOML3	NM_001144033.1
RASSF4	NM_032023.4
PTP4A3	NM_032611.3
PRIMA1	NM_178013.4
TEX35	NM_032126.5
IRF2BP2	NM_182972.2
WDR36	NM_139281.2
KHDC1	NM_030568.5
RIN2	NM_001242581.1
PIGG	NM_017733.4
BRIP1	NM_032043.3
CIPC	NM_033426.3
MFSD12	NM_174983.5
RARRES1	NM_002888.3
ZNF320	NM_207333.3
FTCDNL1	NM_001350853.1
PLXND1	NM_015103.2
PRRC2C	NM_015172.4
CDCP1	NM_022842.5
CNTNAP4	NM_033401.5
HCAR3	NM_006018.3
OR4A47	NM_001005512.2
CFAP52	NM_145054.5
MRPS12	NM_021107.1
GPC1	NM_002081.3
MAP3K3	NM_002401.5
DNAJC14	NM_032364.5
PHLPP2	NM_015020.3
TNFRSF1B	NM_001066.3
EXOSC8	NM_181503.3
BFSP1	NM_001195.5
COG3	NM_031431.4
DNTTIP2	NM_014597.5
NECTIN2	NM_002856.3
H3C3	NM_003531.2
TRIM54	NM_187841.3
CSTF1	NM_001033521.1
OSBP2	NM_030758.4
PTPN2	NM_080422.2
TMEM19	NM_018279.4
SCRN1	NM_014766.5
HSPA13	NM_006948.5
RNF39	NM_170769.2
SNX24	NM_014035.4
FAM71C	NM_153364.4
POP7	NM_005837.3
RGR	NM_002921.3
ACACB	NM_001093.4
GCC1	NM_024523.6
SFSWAP	NM_004592.4
LAMP1	NM_005561.4
IL18BP	NM_173042.2
TYRP1	NM_000550.3
ADRA1A	NM_033303.4
IP6K1	NM_153273.4
ABRAXAS2	NM_032182.4
ANO6	NM_001025356.3
SNN	NM_003498.6
LCP1	NM_002298.5
CST9L	NM_080610.3
GUK1	NM_000858.6
XKR5	NM_207411.5
GTF2E1	NM_005513.3
EMID1	NM_133455.4
DAOA	NM_172370.4
NUP43	NM_198887.3
ZNF546	NM_178544.5
CINP	NM_032630.3
NAPG	NM_003826.3
TARBP1	NM_005646.4
CTTNBP2	NM_033427.3
CASP5	NM_004347.5
YWHAB	NM_003404.5
GDNF	NM_000514.4
ASPDH	NM_001024656.3
TECPR1	NM_015395.3
RAP1GDS1	NM_001100426.2
ERBIN	NM_018695.4
CRCT1	NM_019060.3
ULBP3	NM_024518.3
TRIM5	NM_033034.3
C1orf162	NM_174896.4
ZNF2	NM_021088.4
DHX35	NM_021931.4
PRAMEF8	NM_001012276.3
SPTLC1	NM_006415.4
TRIP10	NM_001288962.2
OR8B3	NM_001005467.1
AP4M1	NM_004722.4
C7	NM_000587.4
CANT1	NM_138793.4
GRAP2	NM_004810.4
CILK1	NM_016513.4
CCHCR1	NM_019052.4
ATP5MF	NM_004889.4
SPACA3	NM_173847.5
ADSS2	NM_001126.5
TNFSF9	NM_003811.4
ATG4B	NM_013325.5
NEURL1B	NM_001142651.3
PDZK1IP1	NM_005764.4
PLAC8L1	NM_001029869.3
RPS18	NM_022551.3
SLC27A6	NM_014031.4
SV2B	NM_014848.7
SOCS6	NM_004232.4
MYOC	NM_000261.2
BCL2L2	NM_004050.4
HEATR3	NM_182922.4
DEFB136	NM_001033018.2
PIGW	NM_178517.4
NKAIN1	NM_024522.3
STARD7	NM_020151.3
SOGA3	NM_001012279.3
FOLH1B	NM_153696.2
NBPF15	NM_173638.4
RPS19	NM_001022.4
RGS7	NM_002924.6
KRTAP19-7	NM_181614.2
IPO8	NM_006390.4
UCP3	NM_003356.4
HAS3	NM_138612.3
PRLH	NM_015893.1
CCDC7	NM_145023.6
RTL3	NM_152694.3
SLC7A8	NM_001267036.1
ZNF618	NM_133374.2
FAM124A	NM_145019.4
POLR3B	NM_018082.6
DUS1L	NM_022156.5
EIF4G1	NM_182917.4
NAALADL1	NM_005468.3
TNFAIP1	NM_021137.5
NFIC	NM_005597.4
SUMO3	NM_001286416.1
FBXO28	NM_015176.4
RNF148	NM_198085.2
PIP4P2	NM_018710.3
SUDS3	NM_022491.3
REEP5	NM_005669.5
NANS	NM_018946.4
SLC37A3	NM_032295.3
MEDAG	NM_032849.4
CDS2	NM_003818.4
DNAAF6	NM_173494.2
DHDH	NM_014475.4
TPCN2	NM_139075.4
GAGE13	NM_001098412.2
HPS6	NM_024747.6
ADGRB3	NM_001704.3
SCIMP	NM_207103.3
FKBP10	NM_021939.4
HOXA2	NM_006735.4
OR5B3	NM_001005469.1
UNC79	NM_020818.5
LDB3	NM_001080114.2
SERPINI1	NM_001122752.1
TATDN2	NM_014760.4
NSUN3	NM_022072.5
BCL9	NM_004326.4
UBXN1	NM_015853.5
DLG5	NM_004747.4
CENPB	NM_001810.6
MAP11	NM_018275.5
C3orf33	NM_173657.2
IL12RB1	NM_001290023.2
OR6C74	NM_001005490.1
SLC44A3	NM_152369.5
KLHL5	NM_001007075.2
PCNX3	NM_032223.3
RASSF7	NM_003475.4
KRTAP10-5	NM_198694.3
C19orf57	NM_024323.5
FBXO11	NM_025133.4
MTX1	NM_198883.3
CKM	NM_001824.5
FRG1	NM_004477.3
CDKAL1	NM_017774.3
KIN	NM_012311.4
PECR	NM_018441.6
NBN	NM_001024688.2
H3C2	NM_003537.3
SUSD5	NM_015551.2
SOD2	NM_000636.4
PPP1R2	NM_006241.8
RNF138	NM_016271.5
ZNF790	NM_206894.4
PSMA1	NM_002786.3
SFXN2	NM_001350989.1
GNA13	NM_006572.6
RRP8	NM_015324.4
ZDHHC12	NM_032799.5
RELN	NM_005045.4
HSPA14	NM_016299.4
SPATA32	NM_152343.3
TM4SF5	NM_003963.3
VAV2	NM_001134398.2
YBEY	NM_058181.3
C1orf226	NM_001085375.2
GM2A	NM_000405.5
CDIP1	NM_013399.3
RAPSN	NM_005055.5
SULT6B1	NM_001032377.2
CTAGE1	NM_172241.3
ACADSB	NM_001609.4
ARMC5	NM_024742.2
ATM	NM_000051.3
C15orf62	NM_001130448.3
GIMAP2	NM_015660.3
RBM6	NM_005777.3
MYL7	NM_021223.3
PCDHGC4	NM_018928.2
OR2AG1	NM_001004489.2
OR2B2	NM_033057.2
SASH3	NM_018990.4
ZNF543	NM_213598.4
MSI2	NM_001322250.1
CRHBP	NM_001882.4
PLEKHA4	NM_001161354.2
ILRUN	NM_022758.6
CCPG1	NM_004748.5
RNF167	NM_015528.3
FRY	NM_023037.3
IKBKG	NM_003639.4
CDH8	NM_001796.5
HTR2A	NM_000621.4
ACTR10	NM_018477.3
HSD17B14	NM_016246.3
NR4A3	NM_006981.4
GTF2H1	NM_005316.4
H2AC6	NM_003512.3
RAB5C	NM_004583.4
CCNL1	NM_020307.3
ZNF675	NM_138330.3
CSAD	NM_015989.5
UBXN4	NM_014607.4
PCOTH	NM_001014442.4
TEX46	NM_001242521.2
RPL15	NM_002948.4
TOGARAM2	NM_199280.3
GLYAT	NM_201648.3
BARX1	NM_021570.4
MAP1S	NM_018174.6
ADD2	NM_001617.4
VCX	NM_013452.2
VSTM1	NM_198481.4
MRPL1	NM_020236.4
NCDN	NM_014284.3
KRT73	NM_175068.3
ADCK5	NM_174922.5
NLGN1	NM_014932.5
RRP36	NM_033112.4
C2CD4C	NM_001136263.2
OTOL1	NM_001080440.1
RECQL4	NM_004260.3
OR52E5	NM_001005166.2
DUSP7	NM_001947.4
KCND1	NM_004979.6
TFG	NM_006070.6
ME3	NM_001014811.1
DOCK11	NM_144658.3
DTWD1	NM_020234.6
CCDC88B	NM_032251.6
KRT6A	NM_005554.4
FAAP24	NM_152266.5
EIF1AX	NM_001412.4
SIGMAR1	NM_005866.4
OR1E2	NM_003554.2
ACYP1	NM_001107.5
CLHC1	NM_152385.4
TUBA4A	NM_006000.3
AP3B1	NM_001271769.2
APC	NM_000038.6
INVS	NM_014425.5
ZMYM2	NM_003453.5
IL36RN	NM_173170.1
WNT10A	NM_025216.3
DEFB129	NM_080831.4
FAM161B	NM_152445.3
PMS2	NM_000535.7
TEX14	NM_001201457.1
ISY1-RAB43	NM_001204890.1
GLIS3	NM_152629.3
NMNAT2	NM_015039.4
SLC6A18	NM_182632.3
DCHS2	NM_001142552.2
DCSTAMP	NM_030788.4
CDC42SE1	NM_020239.4
SLC28A1	NM_001287761.1
UTF1	NM_003577.3
GLDC	NM_000170.2
ROBO3	NM_022370.4
BLVRA	NM_000712.4
ENTPD5	NM_001249.4
SLITRK5	NM_015567.1
CT83	NM_001017978.4
OR4D6	NM_001004708.1
ARID1A	NM_139135.4
PSMC6	NM_002806.5
TWF1	NM_002822.5
PARP6	NM_020214.4
PCDH12	NM_016580.3
FCHSD1	NM_033449.3
C4A	NM_007293.3
FBP2	NM_003837.4
KLHDC8B	NM_173546.3
CAMK1	NM_003656.5
IFT27	NM_006860.5
C20orf27	NM_001039140.3
TBC1D26	NM_178571.4
SDCBP2	NM_080489.5
NKX3-1	NM_001256339.1
ANKK1	NM_178510.2
HMGCR	NM_000859.3
STPG1	NM_178122.4
RFK	NM_018339.6
NFATC2IP	NM_032815.3
SEMA4B	NM_198925.3
PITRM1	NM_001242307.1
CLEC18C	NM_173619.4
BCO1	NM_017429.3
FAM47E-STBD1	NM_001242939.1
CIAO2B	NM_016062.4
TXNDC9	NM_005783.4
CLIC1	NM_001288.4
UBD	NM_006398.4
NSMCE3	NM_138704.4
DLGAP4	NM_014902.6
GPANK1	NM_033177.4
OR2M4	NM_017504.1
ZMYND10	NM_015896.4
TNFRSF17	NM_001192.3
C8orf82	NM_001001795.2
NEBL	NM_006393.2
TAAR8	NM_053278.2
PREX1	NM_020820.4
MYOT	NM_006790.3
DPP8	NM_017743.6
CAPN3	NM_000070.3
SMDT1	NM_033318.5
FLVCR1	NM_014053.4
TDRD6	NM_001010870.3
ZNF224	NM_013398.4
MRPS23	NM_016070.4
ZNF347	NM_032584.3
DPYSL5	NM_020134.4
ZFAND5	NM_001102420.3
NTNG1	NM_014917.4
ZNF800	NM_176814.5
ZDHHC3	NM_016598.3
RASGEF1B	NM_152545.3
METTL9	NM_016025.5
AKT3	NM_181690.2
TNPO1	NM_002270.3
KIR3DL1	NM_013289.2
HSBP1L1	NM_001136180.2
SLC38A4	NM_001143824.2
CYP2A6	NM_000762.6
XPO1	NM_003400.4
THOC1	NM_005131.3
FUT9	NM_006581.4
FCAMR	NM_032029.4
LHFPL4	NM_198560.3
ZGRF1	NM_018392.4
HTR4	NM_000870.6
PRKCE	NM_005400.3
MAT1A	NM_000429.3
COLEC11	NM_024027.5
OPN1SW	NM_001708.2
RPL26L1	NM_016093.3
ZKSCAN1	NM_003439.4
C5orf58	NM_001102609.3
GPR37	NM_005302.5
SP1	NM_001251825.2
TSPAN15	NM_012339.5
PEX3	NM_003630.3
GALNT7	NM_017423.3
TSPAN6	NM_001278740.2
NAA20	NM_016100.5
MARK1	NM_001286124.1
PUS3	NM_031307.4
RAB26	NM_001308053.1
GYPA	NM_002099.8
SCTR	NM_002980.2
PATE3	NM_001129883.4
TMEM174	NM_153217.3
USP25	NM_001283041.2
PSD3	NM_015310.4
MYOCOS	NM_001368164.1
KCNN1	NM_002248.4
CRYBA2	NM_057093.2
SLC1A2	NM_004171.4
PLPPR1	NM_017753.3
ADCYAP1	NM_001117.5
CNPY4	NM_152755.2
MYBBP1A	NM_014520.4
MAZ	NM_002383.4
OR2H1	NM_001318014.1
GPKOW	NM_015698.6
TSPAN13	NM_014399.4
BNIP3	NM_004052.3
COQ8B	NM_024876.4
SPIDR	NM_001080394.4
KDELR2	NM_001100603.2
NCOA5	NM_020967.3
FOXP3	NM_014009.4
GIMAP7	NM_153236.4
GTF2H5	NM_207118.3
POLG	NM_002693.2
CCL26	NM_006072.4
CDSN	NM_001264.5
NAXD	NM_018210.4
CDH20	NM_031891.4
HNRNPAB	NM_004499.4
GDF6	NM_001001557.4
PIGY	NM_032906.5
FIBCD1	NM_032843.5
GTSF1L	NM_176791.4
NCBP2L	NM_001348372.2
TSPY1	NM_003308.4
PLPPR5	NM_001037317.2
CDRT1	NM_006382.3
EVC2	NM_147127.5
EBF2	NM_022659.4
AQP11	NM_173039.3
GRIN2B	NM_000834.4
PNRC1	NM_006813.3
RBM24	NM_153020.2
COL14A1	NM_021110.4
ZNF728	NM_001267716.2
GTPBP8	NM_014170.4
PSMA2	NM_002787.5
KEAP1	NM_012289.4
CHRNA2	NM_000742.4
ERGIC3	NM_015966.3
MRFAP1	NM_033296.2
SWSAP1	NM_175871.4
C16orf78	NM_144602.4
CNGA1	NM_000087.4
SREBF1	NM_004176.4
ROBO4	NM_019055.6
MST1R	NM_001244937.3
FAM162B	NM_001085480.3
TBC1D32	NM_152730.6
GNB3	NM_002075.4
CDK5RAP3	NM_176096.3
PRAMEF6	NM_001010889.2
CALM3	NM_001329921.1
ELK4	NM_021795.2
TLR3	NM_003265.2
INA	NM_032727.4
FBXL12	NM_017703.3
RSPH1	NM_001286506.2
FAM229A	NM_001167676.1
CCT8	NM_001282907.1
MITD1	NM_138798.3
ZFP91	NM_053023.5
FAM221A	NM_199136.5
SP140	NM_007237.5
PNPLA1	NM_173676.2
EFR3B	NM_014971.2
INSM1	NM_002196.3
CT47A1	NM_001080146.1
MIIP	NM_021933.4
ZNF835	NM_001005850.3
USP17L25	NM_001242326.1
TMEM47	NM_031442.4
FSIP2	NM_173651.4
XAGE2	NM_130777.3
DDX3X	NM_001356.4
ZNF425	NM_001001661.3
SUPT6H	NM_003170.5
PCSK5	NM_001190482.1
NBPF11	NM_183372.6
FA2H	NM_024306.5
PARN	NM_002582.4
PPP1R3F	NM_033215.5
SLC35G1	NM_153226.4
RARRES2	NM_002889.4
CCT7	NM_001009570.2
CHST10	NM_004854.5
ZNF551	NM_138347.5
NR4A2	NM_006186.4
PICK1	NM_012407.4
MED7	NM_004270.5
CD84	NM_003874.4
PCDHA11	NM_018902.4
TLCD3B	NM_031478.6
CSH2	NM_020991.3
GALNT2	NM_004481.5
B3GAT1	NM_018644.3
MRPL35	NM_016622.4
DNHD1	NM_144666.2
CCNB2	NM_004701.4
INTS6	NM_012141.3
TEX45	NM_198534.3
KBTBD3	NM_152433.3
DNLZ	NM_001080849.3
PLEKHF2	NM_024613.4
LIN7A	NM_001324423.2
SLC37A1	NM_001320537.2
PKP1	NM_000299.3
SLCO1B7	NM_001009562.4
SYT7	NM_004200.3
SLC8A2	NM_015063.3
FAM118A	NM_017911.4
OXER1	NM_148962.4
PKP4	NM_001005476.3
IL4I1	NM_001258017.2
TMEM31	NM_182541.2
LAMC2	NM_005562.3
INPP5F	NM_014937.4
TUBB8B	NM_001358689.1
RBM3	NM_006743.5
ACCS	NM_032592.4
CLDND2	NM_152353.3
MTTP	NM_000253.3
VWCE	NM_152718.2
INPP4A	NM_001566.2
PLEKHD1	NM_001161498.2
PCDHB8	NM_019120.5
ETFA	NM_000126.4
TWNK	NM_021830.5
PPP4R1	NM_005134.4
KCTD15	NM_024076.3
SIT1	NM_014450.3
MAGEB1	NM_002363.5
TDRD7	NM_014290.3
RTRAF	NM_016039.3
MAP2K3	NM_145109.3
TEPSIN	NM_144679.3
GGA3	NM_138619.4
PRR18	NM_175922.4
JMJD8	NM_001005920.4
FOXD4L5	NM_001126334.1
MIR1-1HG	NM_178463.4
EDN1	NM_001955.5
PXDNL	NM_144651.5
CCDC9B	NM_207380.2
ZNF75A	NM_153028.3
ITIH6	NM_198510.3
TMEM11	NM_003876.2
NOA1	NM_032313.4
RANGAP1	NM_002883.4
C1QTNF1	NM_030968.5
HMCES	NM_020187.3
RXRG	NM_006917.5
FJX1	NM_014344.4
TGFBI	NM_000358.3
GDF1	NM_001492.6
ATF4	NM_001675.4
DDIT3	NM_004083.5
TRH	NM_007117.5
LMBRD1	NM_018368.4
UACA	NM_001008224.3
TEX13D	NM_001355534.2
RNF115	NM_014455.4
MKKS	NM_018848.3
SAGE1	NM_018666.3
ZKSCAN5	NM_014569.4
OR5H15	NM_001005515.1
GZMB	NM_004131.6
MUC4	NM_018406.7
TMEM64	NM_001008495.4
H4C2	NM_003544.2
GEMIN7	NM_001007269.2
CCDC142	NM_032779.4
AANAT	NM_001088.3
